BestellID,Menge,Bestelldatum,KundenID,ProduktID
1,8,2020-10-21 00:00:00,19,32
2,3,2021-01-22 00:00:00,2,33
3,5,2021-02-10 00:00:00,8,27
4,4,2021-02-11 00:00:00,6,28
5,1,2021-03-11 00:00:00,7,9
6,9,2021-03-17 00:00:00,15,7
7,8,2021-03-21 00:00:00,1,11
8,7,2021-03-28 00:00:00,28,28
9,3,2021-04-21 00:00:00,2,31
10,4,2021-04-24 00:00:00,3,29
11,4,2021-06-23 00:00:00,19,35
12,6,2021-07-04 00:00:00,6,1
13,3,2021-07-15 00:00:00,1,39
14,7,2021-08-13 00:00:00,23,16
15,5,2021-08-19 00:00:00,14,19
16,6,2021-09-02 00:00:00,27,8
17,2,2021-09-04 00:00:00,11,36
18,8,2021-10-11 00:00:00,6,24
19,2,2021-11-08 00:00:00,18,16
20,8,2021-11-11 00:00:00,2,29
21,9,2021-12-22 00:00:00,3,29
22,8,2021-12-30 00:00:00,30,37
23,7,2022-02-10 00:00:00,11,19
24,4,2022-02-23 00:00:00,4,22
25,9,2022-03-10 00:00:00,9,25
26,6,2022-05-11 00:00:00,5,9
27,5,2022-05-13 00:00:00,10,42
28,6,08.06.2022,14,10
29,7,23.06.2022,4,29
30,2,09.07.2022,24,7
31,8,09.07.2022,28,14
32,4,2022-07-19 00:00:00,22,38
33,5,23.07.2022,10,5
34,7,24.07.2022,23,15
35,10,28.07.2022,17,4
36,9,29.07.2022,4,28
37,8,31.07.2022,18,27
38,3,2022-07-31 00:00:00,11,42
39,3,03.08.2022,24,5
40,6,07.08.2022,26,11
41,9,2022-08-16 00:00:00,7,19
42,7,2022-08-16 00:00:00,29,40
43,8,23.08.2022,17,28
44,7,30.08.2022,18,18
45,2,07.09.2022,16,28
46,8,07.09.2022,21,26
47,8,09.09.2022,2,13
48,6,25.09.2022,17,33
49,8,28.09.2022,5,42
50,9,29.09.2022,16,30
51,6,30.09.2022,11,12
52,1,2022-10-04 00:00:00,13,23
53,8,05.10.2022,28,1
54,10,11.10.2022,8,28
55,1,21.10.2022,24,19
56,9,22.10.2022,6,14
57,1,22.10.2022,27,38
58,6,2022-10-25 00:00:00,12,6
59,10,2022-10-26 00:00:00,8,34
60,4,27.10.2022,9,39
61,5,28.10.2022,30,31
62,5,02.11.2022,16,41
63,1,2022-11-03 00:00:00,19,17
64,9,04.11.2022,28,2
65,1,2022-11-09 00:00:00,4,14
66,4,21.11.2022,18,6
67,2,2022-11-24 00:00:00,24,16
68,9,13.12.2022,21,13
69,4,16.12.2022,8,26
70,4,17.12.2022,24,8
71,9,2022-12-18 00:00:00,25,30
72,4,23.12.2022,7,25
73,6,24.12.2022,3,29
74,10,03.01.2023,22,2
75,2,17.01.2023,8,10
76,2,26.01.2023,1,16
77,8,31.01.2023,20,22
78,4,04.02.2023,19,8
79,7,05.02.2023,8,17
80,7,06.02.2023,16,9
81,1,2023-02-07 00:00:00,11,40
82,9,08.02.2023,8,6
83,3,24.02.2023,22,37
84,3,28.02.2023,27,4
85,9,02.03.2023,27,10
86,9,07.03.2023,6,30
87,8,08.03.2023,5,42
88,9,25.03.2023,22,29
89,10,09.04.2023,7,21
90,3,14.04.2023,15,3
91,10,17.04.2023,15,3
92,9,22.04.2023,3,22
93,1,30.04.2023,28,7
94,3,2023-05-09 00:00:00,23,34
95,1,10.05.2023,3,42
96,5,13.05.2023,9,37
97,4,2023-05-13 00:00:00,27,20
98,9,17.05.2023,8,20
99,6,21.05.2023,28,3
100,1,2023-06-04 00:00:00,1,23
