BestellID,Menge,Bestelldatum,KundenID,ProduktID
1,8,2020-10-21,19,32
2,3,2021-01-22,2,33
3,5,2021-02-10,8,27
4,4,2021-02-11,6,28
5,1,2021-03-11,7,9
6,9,2021-03-17,15,7
7,8,2021-03-21,1,11
8,7,2021-03-28,28,28
9,3,2021-04-21,2,31
10,4,2021-04-24,3,29
11,4,2021-06-23,19,35
12,6,2021-07-04,6,1
13,3,2021-07-15,1,39
14,7,2021-08-13,23,16
15,5,2021-08-19,14,19
16,6,2021-09-02,27,8
17,2,2021-09-04,11,36
18,8,2021-10-11,6,24
19,2,2021-11-08,18,16
20,8,2021-11-11,2,29
21,9,2021-12-22,3,29
22,8,2021-12-30,30,37
23,7,2022-02-10,11,19
24,4,2022-02-23,4,22
25,9,2022-03-10,9,25
26,6,2022-05-11,5,9
27,5,2022-05-13,10,42
28,6,2022-06-08,14,10
29,7,2022-06-23,4,29
30,2,2022-07-09,24,7
31,8,2022-07-09,28,14
32,4,2022-07-19,22,38
33,5,2022-07-23,10,5
34,7,2022-07-24,23,15
35,10,2022-07-28,17,4
36,9,2022-07-29,4,28
37,8,2022-07-31,18,27
38,3,2022-07-31,11,42
39,3,2022-08-03,24,5
40,6,2022-08-07,26,11
41,9,2022-08-16,7,19
42,7,2022-08-16,29,40
43,8,2022-08-23,17,28
44,7,2022-08-30,18,18
45,2,2022-09-07,16,28
46,8,2022-09-07,21,26
47,8,2022-09-09,2,13
48,6,2022-09-25,17,33
49,8,2022-09-28,5,42
50,9,2022-09-29,16,30
51,6,2022-09-30,11,12
52,1,2022-10-04,13,23
53,8,2022-10-05,28,1
54,10,2022-10-11,8,28
55,1,2022-10-21,24,19
56,9,2022-10-22,6,14
57,1,2022-10-22,27,38
58,6,2022-10-25,12,6
59,10,2022-10-26,8,34
60,4,2022-10-27,9,39
61,5,2022-10-28,30,31
62,5,2022-11-02,16,41
63,1,2022-11-03,19,17
64,9,2022-11-04,28,2
65,1,2022-11-09,4,14
66,4,2022-11-21,18,6
67,2,2022-11-24,24,16
68,9,2022-12-13,21,13
69,4,2022-12-16,8,26
70,4,2022-12-17,24,8
71,9,2022-12-18,25,30
72,4,2022-12-23,7,25
73,6,2022-12-24,3,29
74,10,2023-01-03,22,2
75,2,2023-01-17,8,10
76,2,2023-01-26,1,16
77,8,2023-01-31,20,22
78,4,2023-02-04,19,8
79,7,2023-02-05,8,17
80,7,2023-02-06,16,9
81,1,2023-02-07,11,40
82,9,2023-02-08,8,6
83,3,2023-02-24,22,37
84,3,2023-02-28,27,4
85,9,2023-03-02,27,10
86,9,2023-03-07,6,30
87,8,2023-03-08,5,42
88,9,2023-03-25,22,29
89,10,2023-04-09,7,21
90,3,2023-04-14,15,3
91,10,2023-04-17,15,3
92,9,2023-04-22,3,22
93,1,2023-04-30,28,7
94,3,2023-05-09,23,34
95,1,2023-05-10,3,42
96,5,2023-05-13,9,37
97,4,2023-05-13,27,20
98,9,2023-05-17,8,20
99,6,2023-05-21,28,3
100,1,2023-06-04,1,23
